mpi_procs;grid_tiles_x;grid_tiles_y;omp_threads;domain_size;n_iterations;disk_write_intensity;airflow;material_file;output_file;simulation_mode;middle_col_avg_temp;total_time;iteration_time
1;1;1;1;256;7812;50;0.001;/home/training/dd-21-22-303/PPP-barbora/scripts/input_data_256.h5;;seq;43.2791;2.68163;0.000343271
1;1;1;1;256;7812;50;0.001;/home/training/dd-21-22-303/PPP-barbora/scripts/input_data_256.h5;/scratch/project/dd-21-22/dd-21-22-303/605229.isrv1/256x256_out_hybrid_1d_seq.h5;seq;43.2791;2.80497;0.000359059
1;1;1;1;256;7812;50;0.001;/home/training/dd-21-22-303/PPP-barbora/scripts/input_data_256.h5;/scratch/project/dd-21-22/dd-21-22-303/605229.isrv1/256x256_out_hybrid_1d_seq.h5;seq;43.2791;2.80105;0.000358557
1;1;1;1;256;7812;50;0.001;/home/training/dd-21-22-303/PPP-barbora/scripts/input_data_256.h5;;seq;43.2791;2.68114;0.000343208
1;1;1;1;256;7812;50;0.001;/home/training/dd-21-22-303/PPP-barbora/scripts/input_data_256.h5;/scratch/project/dd-21-22/dd-21-22-303/605229.isrv1/256x256_out_hybrid_1d_seq.h5;seq;43.2791;2.79969;0.000358383
1;1;1;1;256;7812;50;0.001;/home/training/dd-21-22-303/PPP-barbora/scripts/input_data_256.h5;/scratch/project/dd-21-22/dd-21-22-303/605229.isrv1/256x256_out_hybrid_1d_seq.h5;seq;43.2791;2.80082;0.000358528
1;1;1;1;512;3906;50;0.001;/home/training/dd-21-22-303/PPP-barbora/scripts/input_data_512.h5;;seq;28.3819;5.44521;0.00139406
1;1;1;1;512;3906;50;0.001;/home/training/dd-21-22-303/PPP-barbora/scripts/input_data_512.h5;/scratch/project/dd-21-22/dd-21-22-303/605229.isrv1/512x512_out_hybrid_1d_seq.h5;seq;28.3819;5.66663;0.00145075
1;1;1;1;512;3906;50;0.001;/home/training/dd-21-22-303/PPP-barbora/scripts/input_data_512.h5;/scratch/project/dd-21-22/dd-21-22-303/605229.isrv1/512x512_out_hybrid_1d_seq.h5;seq;28.3819;5.66666;0.00145076
1;1;1;1;512;3906;50;0.001;/home/training/dd-21-22-303/PPP-barbora/scripts/input_data_512.h5;;seq;28.3819;5.44487;0.00139398
1;1;1;1;512;3906;50;0.001;/home/training/dd-21-22-303/PPP-barbora/scripts/input_data_512.h5;/scratch/project/dd-21-22/dd-21-22-303/605229.isrv1/512x512_out_hybrid_1d_seq.h5;seq;28.3819;5.66305;0.00144983
1;1;1;1;512;3906;50;0.001;/home/training/dd-21-22-303/PPP-barbora/scripts/input_data_512.h5;/scratch/project/dd-21-22/dd-21-22-303/605229.isrv1/512x512_out_hybrid_1d_seq.h5;seq;28.3819;5.6663;0.00145067
1;1;1;1;1024;1953;50;0.001;/home/training/dd-21-22-303/PPP-barbora/scripts/input_data_1024.h5;;seq;22.9999;13.2684;0.00679384
