mpi_procs;grid_tiles_x;grid_tiles_y;omp_threads;domain_size;n_iterations;disk_write_intensity;airflow;material_file;output_file;simulation_mode;middle_col_avg_temp;total_time;iteration_time
1;1;1;1;256;7812;50;0.001;/home/training/dd-21-22-303/PPP-barbora/scripts/input_data_256.h5;;seq;43.2791;2.68156;0.000343261
1;1;1;1;256;7812;50;0.001;/home/training/dd-21-22-303/PPP-barbora/scripts/input_data_256.h5;/scratch/project/dd-21-22/dd-21-22-303/605201.isrv1/256x256_out_mpi_2d_seq.h5;seq;43.2791;2.80568;0.00035915
1;1;1;1;256;7812;50;0.001;/home/training/dd-21-22-303/PPP-barbora/scripts/input_data_256.h5;/scratch/project/dd-21-22/dd-21-22-303/605201.isrv1/256x256_out_mpi_2d_seq.h5;seq;43.2791;2.79991;0.000358412
1;1;1;1;256;7812;50;0.001;/home/training/dd-21-22-303/PPP-barbora/scripts/input_data_256.h5;;seq;43.2791;2.68067;0.000343148
1;1;1;1;256;7812;50;0.001;/home/training/dd-21-22-303/PPP-barbora/scripts/input_data_256.h5;/scratch/project/dd-21-22/dd-21-22-303/605201.isrv1/256x256_out_mpi_2d_seq.h5;seq;43.2791;2.8034;0.000358859
1;1;1;1;256;7812;50;0.001;/home/training/dd-21-22-303/PPP-barbora/scripts/input_data_256.h5;/scratch/project/dd-21-22/dd-21-22-303/605201.isrv1/256x256_out_mpi_2d_seq.h5;seq;43.2791;2.79896;0.000358289
1;1;1;1;512;3906;50;0.001;/home/training/dd-21-22-303/PPP-barbora/scripts/input_data_512.h5;;seq;28.3819;5.44553;0.00139415
1;1;1;1;512;3906;50;0.001;/home/training/dd-21-22-303/PPP-barbora/scripts/input_data_512.h5;/scratch/project/dd-21-22/dd-21-22-303/605201.isrv1/512x512_out_mpi_2d_seq.h5;seq;28.3819;5.66735;0.00145093
1;1;1;1;512;3906;50;0.001;/home/training/dd-21-22-303/PPP-barbora/scripts/input_data_512.h5;/scratch/project/dd-21-22/dd-21-22-303/605201.isrv1/512x512_out_mpi_2d_seq.h5;seq;28.3819;5.66724;0.00145091
1;1;1;1;512;3906;50;0.001;/home/training/dd-21-22-303/PPP-barbora/scripts/input_data_512.h5;;seq;28.3819;5.44458;0.0013939
