mpi_procs;grid_tiles_x;grid_tiles_y;omp_threads;domain_size;n_iterations;disk_write_intensity;airflow;material_file;output_file;simulation_mode;middle_col_avg_temp;total_time;iteration_time
1;1;1;1;256;7812;50;0.001;/home/training/dd-21-22-303/PPP-barbora/scripts/input_data_256.h5;;seq;43.2791;2.68158;0.000343264
1;1;1;1;256;7812;50;0.001;/home/training/dd-21-22-303/PPP-barbora/scripts/input_data_256.h5;/scratch/project/dd-21-22/dd-21-22-303/606201.isrv1/256x256_out_hybrid_2d_seq.h5;seq;43.2791;2.80433;0.000358978
1;1;1;1;256;7812;50;0.001;/home/training/dd-21-22-303/PPP-barbora/scripts/input_data_256.h5;/scratch/project/dd-21-22/dd-21-22-303/606201.isrv1/256x256_out_hybrid_2d_seq.h5;seq;43.2791;2.80182;0.000358656
1;1;1;1;256;7812;50;0.001;/home/training/dd-21-22-303/PPP-barbora/scripts/input_data_256.h5;;seq;43.2791;2.68193;0.000343309
1;1;1;1;256;7812;50;0.001;/home/training/dd-21-22-303/PPP-barbora/scripts/input_data_256.h5;/scratch/project/dd-21-22/dd-21-22-303/606201.isrv1/256x256_out_hybrid_2d_seq.h5;seq;43.2791;2.80205;0.000358686
1;1;1;1;256;7812;50;0.001;/home/training/dd-21-22-303/PPP-barbora/scripts/input_data_256.h5;/scratch/project/dd-21-22/dd-21-22-303/606201.isrv1/256x256_out_hybrid_2d_seq.h5;seq;43.2791;2.80195;0.000358673
1;1;1;1;512;3906;50;0.001;/home/training/dd-21-22-303/PPP-barbora/scripts/input_data_512.h5;;seq;28.3819;5.44666;0.00139443
1;1;1;1;512;3906;50;0.001;/home/training/dd-21-22-303/PPP-barbora/scripts/input_data_512.h5;/scratch/project/dd-21-22/dd-21-22-303/606201.isrv1/512x512_out_hybrid_2d_seq.h5;seq;28.3819;5.67138;0.00145197
1;1;1;1;512;3906;50;0.001;/home/training/dd-21-22-303/PPP-barbora/scripts/input_data_512.h5;/scratch/project/dd-21-22/dd-21-22-303/606201.isrv1/512x512_out_hybrid_2d_seq.h5;seq;28.3819;5.66749;0.00145097
1;1;1;1;512;3906;50;0.001;/home/training/dd-21-22-303/PPP-barbora/scripts/input_data_512.h5;;seq;28.3819;5.4462;0.00139432
1;1;1;1;512;3906;50;0.001;/home/training/dd-21-22-303/PPP-barbora/scripts/input_data_512.h5;/scratch/project/dd-21-22/dd-21-22-303/606201.isrv1/512x512_out_hybrid_2d_seq.h5;seq;28.3819;5.66653;0.00145073
1;1;1;1;512;3906;50;0.001;/home/training/dd-21-22-303/PPP-barbora/scripts/input_data_512.h5;/scratch/project/dd-21-22/dd-21-22-303/606201.isrv1/512x512_out_hybrid_2d_seq.h5;seq;28.3819;5.66621;0.00145064
1;1;1;1;1024;1953;50;0.001;/home/training/dd-21-22-303/PPP-barbora/scripts/input_data_1024.h5;;seq;22.9999;13.4487;0.00688616
1;1;1;1;1024;1953;50;0.001;/home/training/dd-21-22-303/PPP-barbora/scripts/input_data_1024.h5;/scratch/project/dd-21-22/dd-21-22-303/606201.isrv1/1024x1024_out_hybrid_2d_seq.h5;seq;22.9999;13.8181;0.00707533
1;1;1;1;1024;1953;50;0.001;/home/training/dd-21-22-303/PPP-barbora/scripts/input_data_1024.h5;/scratch/project/dd-21-22/dd-21-22-303/606201.isrv1/1024x1024_out_hybrid_2d_seq.h5;seq;22.9999;13.8828;0.00710847
1;1;1;1;1024;1953;50;0.001;/home/training/dd-21-22-303/PPP-barbora/scripts/input_data_1024.h5;;seq;22.9999;13.415;0.00686891
1;1;1;1;1024;1953;50;0.001;/home/training/dd-21-22-303/PPP-barbora/scripts/input_data_1024.h5;/scratch/project/dd-21-22/dd-21-22-303/606201.isrv1/1024x1024_out_hybrid_2d_seq.h5;seq;22.9999;13.888;0.00711112
1;1;1;1;1024;1953;50;0.001;/home/training/dd-21-22-303/PPP-barbora/scripts/input_data_1024.h5;/scratch/project/dd-21-22/dd-21-22-303/606201.isrv1/1024x1024_out_hybrid_2d_seq.h5;seq;22.9999;13.922;0.00712852
