mpi_procs;grid_tiles_x;grid_tiles_y;omp_threads;domain_size;n_iterations;disk_write_intensity;airflow;material_file;output_file;simulation_mode;middle_col_avg_temp;total_time;iteration_time
1;1;1;1;256;7812;50;0.001;/home/training/dd-21-22-303/PPP-barbora/scripts/input_data_256.h5;;seq;43.2791;2.68183;0.000343296
1;1;1;1;256;7812;50;0.001;/home/training/dd-21-22-303/PPP-barbora/scripts/input_data_256.h5;/scratch/project/dd-21-22/dd-21-22-303/606201.isrv1/256x256_out_mpi_2d_seq.h5;seq;43.2791;2.80444;0.000358991
1;1;1;1;256;7812;50;0.001;/home/training/dd-21-22-303/PPP-barbora/scripts/input_data_256.h5;/scratch/project/dd-21-22/dd-21-22-303/606201.isrv1/256x256_out_mpi_2d_seq.h5;seq;43.2791;2.8002;0.000358449
1;1;1;1;256;7812;50;0.001;/home/training/dd-21-22-303/PPP-barbora/scripts/input_data_256.h5;;seq;43.2791;2.73775;0.000350454
1;1;1;1;256;7812;50;0.001;/home/training/dd-21-22-303/PPP-barbora/scripts/input_data_256.h5;/scratch/project/dd-21-22/dd-21-22-303/606201.isrv1/256x256_out_mpi_2d_seq.h5;seq;43.2791;2.8002;0.000358449
1;1;1;1;256;7812;50;0.001;/home/training/dd-21-22-303/PPP-barbora/scripts/input_data_256.h5;/scratch/project/dd-21-22/dd-21-22-303/606201.isrv1/256x256_out_mpi_2d_seq.h5;seq;43.2791;2.802;0.000358679
1;1;1;1;512;3906;50;0.001;/home/training/dd-21-22-303/PPP-barbora/scripts/input_data_512.h5;;seq;28.3819;5.44567;0.00139418
1;1;1;1;512;3906;50;0.001;/home/training/dd-21-22-303/PPP-barbora/scripts/input_data_512.h5;/scratch/project/dd-21-22/dd-21-22-303/606201.isrv1/512x512_out_mpi_2d_seq.h5;seq;28.3819;5.67708;0.00145343
1;1;1;1;512;3906;50;0.001;/home/training/dd-21-22-303/PPP-barbora/scripts/input_data_512.h5;/scratch/project/dd-21-22/dd-21-22-303/606201.isrv1/512x512_out_mpi_2d_seq.h5;seq;28.3819;5.66329;0.0014499
1;1;1;1;512;3906;50;0.001;/home/training/dd-21-22-303/PPP-barbora/scripts/input_data_512.h5;;seq;28.3819;5.44285;0.00139346
1;1;1;1;512;3906;50;0.001;/home/training/dd-21-22-303/PPP-barbora/scripts/input_data_512.h5;/scratch/project/dd-21-22/dd-21-22-303/606201.isrv1/512x512_out_mpi_2d_seq.h5;seq;28.3819;5.66832;0.00145118
1;1;1;1;512;3906;50;0.001;/home/training/dd-21-22-303/PPP-barbora/scripts/input_data_512.h5;/scratch/project/dd-21-22/dd-21-22-303/606201.isrv1/512x512_out_mpi_2d_seq.h5;seq;28.3819;5.66503;0.00145034
1;1;1;1;1024;1953;50;0.001;/home/training/dd-21-22-303/PPP-barbora/scripts/input_data_1024.h5;;seq;22.9999;13.4187;0.0068708
1;1;1;1;1024;1953;50;0.001;/home/training/dd-21-22-303/PPP-barbora/scripts/input_data_1024.h5;/scratch/project/dd-21-22/dd-21-22-303/606201.isrv1/1024x1024_out_mpi_2d_seq.h5;seq;22.9999;13.8985;0.00711648
1;1;1;1;1024;1953;50;0.001;/home/training/dd-21-22-303/PPP-barbora/scripts/input_data_1024.h5;/scratch/project/dd-21-22/dd-21-22-303/606201.isrv1/1024x1024_out_mpi_2d_seq.h5;seq;22.9999;13.8144;0.00707343
1;1;1;1;1024;1953;50;0.001;/home/training/dd-21-22-303/PPP-barbora/scripts/input_data_1024.h5;;seq;22.9999;13.3592;0.00684035
1;1;1;1;1024;1953;50;0.001;/home/training/dd-21-22-303/PPP-barbora/scripts/input_data_1024.h5;/scratch/project/dd-21-22/dd-21-22-303/606201.isrv1/1024x1024_out_mpi_2d_seq.h5;seq;22.9999;13.7499;0.00704038
1;1;1;1;1024;1953;50;0.001;/home/training/dd-21-22-303/PPP-barbora/scripts/input_data_1024.h5;/scratch/project/dd-21-22/dd-21-22-303/606201.isrv1/1024x1024_out_mpi_2d_seq.h5;seq;22.9999;13.8497;0.00709149
1;1;1;1;2048;976;50;0.001;/home/training/dd-21-22-303/PPP-barbora/scripts/input_data_2048.h5;;seq;21.0745;27.0149;0.0276792
1;1;1;1;2048;976;50;0.001;/home/training/dd-21-22-303/PPP-barbora/scripts/input_data_2048.h5;/scratch/project/dd-21-22/dd-21-22-303/606201.isrv1/2048x2048_out_mpi_2d_seq.h5;seq;21.0745;27.9173;0.0286038
1;1;1;1;2048;976;50;0.001;/home/training/dd-21-22-303/PPP-barbora/scripts/input_data_2048.h5;/scratch/project/dd-21-22/dd-21-22-303/606201.isrv1/2048x2048_out_mpi_2d_seq.h5;seq;21.0745;27.937;0.0286239
1;1;1;1;2048;976;50;0.001;/home/training/dd-21-22-303/PPP-barbora/scripts/input_data_2048.h5;;seq;21.0745;27.0001;0.027664
1;1;1;1;2048;976;50;0.001;/home/training/dd-21-22-303/PPP-barbora/scripts/input_data_2048.h5;/scratch/project/dd-21-22/dd-21-22-303/606201.isrv1/2048x2048_out_mpi_2d_seq.h5;seq;21.0745;28.178;0.0288709
1;1;1;1;2048;976;50;0.001;/home/training/dd-21-22-303/PPP-barbora/scripts/input_data_2048.h5;/scratch/project/dd-21-22/dd-21-22-303/606201.isrv1/2048x2048_out_mpi_2d_seq.h5;seq;21.0745;27.94;0.028627
1;1;1;1;4096;488;50;0.001;/home/training/dd-21-22-303/PPP-barbora/scripts/input_data_4096.h5;;seq;20.387;54.1152;0.110892
1;1;1;1;4096;488;50;0.001;/home/training/dd-21-22-303/PPP-barbora/scripts/input_data_4096.h5;/scratch/project/dd-21-22/dd-21-22-303/606201.isrv1/4096x4096_out_mpi_2d_seq.h5;seq;20.387;55.9495;0.114651
