mpi_procs;grid_tiles_x;grid_tiles_y;omp_threads;domain_size;n_iterations;disk_write_intensity;airflow;material_file;output_file;simulation_mode;middle_col_avg_temp;total_time;iteration_time
1;1;1;1;256;7812;50;0.001;/home/training/dd-21-22-303/PPP-barbora/scripts/input_data_256.h5;;seq;43.2791;2.6817;0.000343279
1;1;1;1;256;7812;50;0.001;/home/training/dd-21-22-303/PPP-barbora/scripts/input_data_256.h5;/scratch/project/dd-21-22/dd-21-22-303/605663.isrv1/256x256_out_mpi_2d_seq.h5;seq;43.2791;2.80359;0.000358882
1;1;1;1;256;7812;50;0.001;/home/training/dd-21-22-303/PPP-barbora/scripts/input_data_256.h5;/scratch/project/dd-21-22/dd-21-22-303/605663.isrv1/256x256_out_mpi_2d_seq.h5;seq;43.2791;2.80203;0.000358683
1;1;1;1;256;7812;50;0.001;/home/training/dd-21-22-303/PPP-barbora/scripts/input_data_256.h5;;seq;43.2791;2.68201;0.000343319
1;1;1;1;256;7812;50;0.001;/home/training/dd-21-22-303/PPP-barbora/scripts/input_data_256.h5;/scratch/project/dd-21-22/dd-21-22-303/605663.isrv1/256x256_out_mpi_2d_seq.h5;seq;43.2791;2.80229;0.000358716
1;1;1;1;256;7812;50;0.001;/home/training/dd-21-22-303/PPP-barbora/scripts/input_data_256.h5;/scratch/project/dd-21-22/dd-21-22-303/605663.isrv1/256x256_out_mpi_2d_seq.h5;seq;43.2791;2.80366;0.000358892
1;1;1;1;512;3906;50;0.001;/home/training/dd-21-22-303/PPP-barbora/scripts/input_data_512.h5;;seq;28.3819;5.44576;0.00139421
1;1;1;1;512;3906;50;0.001;/home/training/dd-21-22-303/PPP-barbora/scripts/input_data_512.h5;/scratch/project/dd-21-22/dd-21-22-303/605663.isrv1/512x512_out_mpi_2d_seq.h5;seq;28.3819;5.67116;0.00145191
1;1;1;1;512;3906;50;0.001;/home/training/dd-21-22-303/PPP-barbora/scripts/input_data_512.h5;/scratch/project/dd-21-22/dd-21-22-303/605663.isrv1/512x512_out_mpi_2d_seq.h5;seq;28.3819;5.66707;0.00145086
1;1;1;1;512;3906;50;0.001;/home/training/dd-21-22-303/PPP-barbora/scripts/input_data_512.h5;;seq;28.3819;5.44998;0.00139528
