mpi_procs;grid_tiles_x;grid_tiles_y;omp_threads;domain_size;n_iterations;disk_write_intensity;airflow;material_file;output_file;simulation_mode;middle_col_avg_temp;total_time;iteration_time
1;1;1;1;256;7812;50;0.001;/home/training/dd-21-22-303/PPP-barbora/scripts/input_data_256.h5;;seq;43.2791;2.68148;0.000343252
1;1;1;1;256;7812;50;0.001;/home/training/dd-21-22-303/PPP-barbora/scripts/input_data_256.h5;/scratch/project/dd-21-22/dd-21-22-303/605229.isrv1/256x256_out_mpi_2d_seq.h5;seq;43.2791;2.80153;0.000358618
1;1;1;1;256;7812;50;0.001;/home/training/dd-21-22-303/PPP-barbora/scripts/input_data_256.h5;/scratch/project/dd-21-22/dd-21-22-303/605229.isrv1/256x256_out_mpi_2d_seq.h5;seq;43.2791;2.79933;0.000358337
1;1;1;1;256;7812;50;0.001;/home/training/dd-21-22-303/PPP-barbora/scripts/input_data_256.h5;;seq;43.2791;2.68141;0.000343242
1;1;1;1;256;7812;50;0.001;/home/training/dd-21-22-303/PPP-barbora/scripts/input_data_256.h5;/scratch/project/dd-21-22/dd-21-22-303/605229.isrv1/256x256_out_mpi_2d_seq.h5;seq;43.2791;2.80171;0.000358641
1;1;1;1;256;7812;50;0.001;/home/training/dd-21-22-303/PPP-barbora/scripts/input_data_256.h5;/scratch/project/dd-21-22/dd-21-22-303/605229.isrv1/256x256_out_mpi_2d_seq.h5;seq;43.2791;2.79883;0.000358273
1;1;1;1;512;3906;50;0.001;/home/training/dd-21-22-303/PPP-barbora/scripts/input_data_512.h5;;seq;28.3819;5.44709;0.00139454
1;1;1;1;512;3906;50;0.001;/home/training/dd-21-22-303/PPP-barbora/scripts/input_data_512.h5;/scratch/project/dd-21-22/dd-21-22-303/605229.isrv1/512x512_out_mpi_2d_seq.h5;seq;28.3819;5.66678;0.00145079
1;1;1;1;512;3906;50;0.001;/home/training/dd-21-22-303/PPP-barbora/scripts/input_data_512.h5;/scratch/project/dd-21-22/dd-21-22-303/605229.isrv1/512x512_out_mpi_2d_seq.h5;seq;28.3819;5.66545;0.00145045
1;1;1;1;512;3906;50;0.001;/home/training/dd-21-22-303/PPP-barbora/scripts/input_data_512.h5;;seq;28.3819;5.44254;0.00139338
1;1;1;1;512;3906;50;0.001;/home/training/dd-21-22-303/PPP-barbora/scripts/input_data_512.h5;/scratch/project/dd-21-22/dd-21-22-303/605229.isrv1/512x512_out_mpi_2d_seq.h5;seq;28.3819;5.66258;0.00144971
1;1;1;1;512;3906;50;0.001;/home/training/dd-21-22-303/PPP-barbora/scripts/input_data_512.h5;/scratch/project/dd-21-22/dd-21-22-303/605229.isrv1/512x512_out_mpi_2d_seq.h5;seq;28.3819;5.66568;0.00145051
1;1;1;1;1024;1953;50;0.001;/home/training/dd-21-22-303/PPP-barbora/scripts/input_data_1024.h5;;seq;22.9999;13.2519;0.00678543
1;1;1;1;1024;1953;50;0.001;/home/training/dd-21-22-303/PPP-barbora/scripts/input_data_1024.h5;/scratch/project/dd-21-22/dd-21-22-303/605229.isrv1/1024x1024_out_mpi_2d_seq.h5;seq;22.9999;13.7224;0.00702631
1;1;1;1;1024;1953;50;0.001;/home/training/dd-21-22-303/PPP-barbora/scripts/input_data_1024.h5;/scratch/project/dd-21-22/dd-21-22-303/605229.isrv1/1024x1024_out_mpi_2d_seq.h5;seq;22.9999;13.7211;0.00702565
1;1;1;1;1024;1953;50;0.001;/home/training/dd-21-22-303/PPP-barbora/scripts/input_data_1024.h5;;seq;22.9999;13.2483;0.00678357
1;1;1;1;1024;1953;50;0.001;/home/training/dd-21-22-303/PPP-barbora/scripts/input_data_1024.h5;/scratch/project/dd-21-22/dd-21-22-303/605229.isrv1/1024x1024_out_mpi_2d_seq.h5;seq;22.9999;13.723;0.00702661
1;1;1;1;1024;1953;50;0.001;/home/training/dd-21-22-303/PPP-barbora/scripts/input_data_1024.h5;/scratch/project/dd-21-22/dd-21-22-303/605229.isrv1/1024x1024_out_mpi_2d_seq.h5;seq;22.9999;13.7197;0.00702492
1;1;1;1;2048;976;50;0.001;/home/training/dd-21-22-303/PPP-barbora/scripts/input_data_2048.h5;;seq;21.0745;27.1026;0.0277691
1;1;1;1;2048;976;50;0.001;/home/training/dd-21-22-303/PPP-barbora/scripts/input_data_2048.h5;/scratch/project/dd-21-22/dd-21-22-303/605229.isrv1/2048x2048_out_mpi_2d_seq.h5;seq;21.0745;27.9415;0.0286286
1;1;1;1;2048;976;50;0.001;/home/training/dd-21-22-303/PPP-barbora/scripts/input_data_2048.h5;/scratch/project/dd-21-22/dd-21-22-303/605229.isrv1/2048x2048_out_mpi_2d_seq.h5;seq;21.0745;27.9835;0.0286716
1;1;1;1;2048;976;50;0.001;/home/training/dd-21-22-303/PPP-barbora/scripts/input_data_2048.h5;;seq;21.0745;27.0149;0.0276792
1;1;1;1;2048;976;50;0.001;/home/training/dd-21-22-303/PPP-barbora/scripts/input_data_2048.h5;/scratch/project/dd-21-22/dd-21-22-303/605229.isrv1/2048x2048_out_mpi_2d_seq.h5;seq;21.0745;27.9468;0.0286341
1;1;1;1;2048;976;50;0.001;/home/training/dd-21-22-303/PPP-barbora/scripts/input_data_2048.h5;/scratch/project/dd-21-22/dd-21-22-303/605229.isrv1/2048x2048_out_mpi_2d_seq.h5;seq;21.0745;27.9425;0.0286296
1;1;1;1;4096;488;50;0.001;/home/training/dd-21-22-303/PPP-barbora/scripts/input_data_4096.h5;;seq;20.387;54.2899;0.11125
1;1;1;1;4096;488;50;0.001;/home/training/dd-21-22-303/PPP-barbora/scripts/input_data_4096.h5;/scratch/project/dd-21-22/dd-21-22-303/605229.isrv1/4096x4096_out_mpi_2d_seq.h5;seq;20.387;56.0206;0.114796
1;1;1;1;4096;488;50;0.001;/home/training/dd-21-22-303/PPP-barbora/scripts/input_data_4096.h5;/scratch/project/dd-21-22/dd-21-22-303/605229.isrv1/4096x4096_out_mpi_2d_seq.h5;seq;20.387;56.1138;0.114987
1;1;1;1;4096;488;50;0.001;/home/training/dd-21-22-303/PPP-barbora/scripts/input_data_4096.h5;;seq;20.387;54.0988;0.110858
1;1;1;1;4096;488;50;0.001;/home/training/dd-21-22-303/PPP-barbora/scripts/input_data_4096.h5;/scratch/project/dd-21-22/dd-21-22-303/605229.isrv1/4096x4096_out_mpi_2d_seq.h5;seq;20.387;56.0067;0.114768
1;1;1;1;4096;488;50;0.001;/home/training/dd-21-22-303/PPP-barbora/scripts/input_data_4096.h5;/scratch/project/dd-21-22/dd-21-22-303/605229.isrv1/4096x4096_out_mpi_2d_seq.h5;seq;20.387;56.0231;0.114802
16;4;4;1;256;78125;50;0.001;/home/training/dd-21-22-303/PPP-barbora/scripts/input_data_256.h5;;par;90.4351;4.25785;5.45005e-05
16;4;4;1;256;78125;50;0.001;/home/training/dd-21-22-303/PPP-barbora/scripts/input_data_256.h5;/scratch/project/dd-21-22/dd-21-22-303/605229.isrv1/256x256_out_mpi_2d_par.h5;par;90.4351;4.72788;6.05169e-05
16;4;4;1;256;78125;50;0.001;/home/training/dd-21-22-303/PPP-barbora/scripts/input_data_256.h5;/scratch/project/dd-21-22/dd-21-22-303/605229.isrv1/256x256_out_mpi_2d_par.h5;par;90.4351;5.34255;6.83847e-05
16;4;4;1;256;78125;50;0.001;/home/training/dd-21-22-303/PPP-barbora/scripts/input_data_256.h5;;par;83.7936;3.96623;5.07677e-05
